<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	23:00:00	37763.9	37791.7	37762.5	37776.3	385	0	90
2024.01.02	00:00:00	37777.1	37784.5	37765.0	37770.4	249	0	84
2024.01.02	01:00:00	37771.4	37790.5	37752.6	37761.2	534	0	79
2024.01.02	02:00:00	37761.7	37770.8	37759.1	37769.8	305	0	79
2024.01.02	03:00:00	37770.7	37778.6	37766.4	37775.9	228	0	78
2024.01.02	04:00:00	37775.3	37790.9	37773.3	37786.9	204	0	77
2024.01.02	05:00:00	37787.8	37803.8	37787.8	37790.4	295	0	76
2024.01.02	06:00:00	37791.0	37794.9	37779.5	37784.3	338	0	76
2024.01.02	07:00:00	37785.8	37812.9	37784.3	37796.9	559	0	76
2024.01.02	08:00:00	37796.4	37863.5	37796.4	37859.7	1689	0	72
2024.01.02	09:00:00	37860.4	37860.4	37755.9	37763.0	1652	0	71
2024.01.02	10:00:00	37763.0	37767.2	37723.1	37736.1	1460	0	71
2024.01.02	11:00:00	37735.1	37737.0	37565.4	37598.1	2344	0	73
2024.01.02	12:00:00	37598.7	37598.7	37514.5	37523.6	1933	0	72
2024.01.02	13:00:00	37522.1	37566.5	37513.1	37531.6	2002	0	72
2024.01.02	14:00:00	37531.1	37693.8	37510.1	37693.7	5031	0	71
2024.01.02	15:00:00	37688.4	37746.8	37653.6	37725.5	4713	0	74
2024.01.02	16:00:00	37724.6	37780.4	37691.5	37770.7	3117	0	75
2024.01.02	17:00:00	37771.7	37819.9	37762.3	37790.4	2877	0	75
2024.01.02	18:00:00	37791.0	37791.0	37715.4	37727.8	2799	0	75
2024.01.02	19:00:00	37726.5	37732.8	37630.6	37633.2	2723	0	74
2024.01.02	20:00:00	37633.8	37756.8	37609.5	37752.7	3799	0	75
2024.01.02	21:00:00	37752.7	37761.7	37736.4	37755.7	775	0	77
2024.01.02	23:00:00	37761.3	37767.5	37744.1	37763.1	337	0	81
2024.01.03	00:00:00	37764.6	37766.7	37745.3	37752.0	368	0	77
2024.01.03	01:00:00	37751.4	37755.9	37743.5	37747.0	448	0	74
2024.01.03	02:00:00	37747.9	37751.0	37737.5	37741.5	307	0	73
2024.01.03	03:00:00	37742.1	37747.9	37731.7	37731.7	326	0	73
2024.01.03	04:00:00	37732.2	37737.1	37726.6	37728.6	303	0	73
2024.01.03	05:00:00	37729.1	37729.2	37715.5	37722.5	363	0	73
2024.01.03	06:00:00	37722.5	37731.1	37720.7	37726.1	272	0	73
2024.01.03	07:00:00	37725.5	37737.0	37711.6	37724.9	586	0	74
2024.01.03	08:00:00	37725.0	37756.8	37718.0	37729.7	2010	0	70
2024.01.03	09:00:00	37728.8	37732.6	37684.6	37688.2	1837	0	70
2024.01.03	10:00:00	37688.5	37696.8	37661.2	37678.5	1688	0	71
2024.01.03	11:00:00	37679.1	37688.3	37635.1	37649.1	1510	0	70
2024.01.03	12:00:00	37650.2	37650.5	37612.1	37628.2	1734	0	70
2024.01.03	13:00:00	37628.1	37664.7	37611.5	37615.3	1711	0	71
2024.01.03	14:00:00	37614.1	37648.4	37531.4	37549.0	4672	0	71
2024.01.03	15:00:00	37548.3	37602.3	37423.8	37465.4	4799	0	75
