Date,Open,High,Low,Close,Volume
2023-01-01 00:00:00,1.10005,1.10008,1.1,1.10006,1058
2023-01-01 00:01:00,1.10004,1.10015,1.09998,1.1001,608
2023-01-01 00:02:00,1.10011,1.1002,1.10009,1.1002,1238
2023-01-01 00:03:00,1.10028,1.10032,1.10017,1.10027,1017
2023-01-01 00:04:00,1.10025,1.10037,1.10018,1.1003,797
2023-01-01 00:05:00,1.10023,1.10037,1.10013,1.10028,1163
2023-01-01 00:06:00,1.1004,1.10046,1.10037,1.10041,844
2023-01-01 00:07:00,1.10048,1.10064,1.10044,1.10059,790
2023-01-01 00:08:00,1.10043,1.10053,1.1004,1.10049,551
2023-01-01 00:09:00,1.10049,1.10053,1.10037,1.10046,703
2023-01-01 00:10:00,1.10044,1.10052,1.10038,1.10046,1250
2023-01-01 00:11:00,1.10039,1.10048,1.10037,1.10044,1185
2023-01-01 00:12:00,1.10042,1.10056,1.10036,1.10052,859
2023-01-01 00:13:00,1.10021,1.10031,1.10015,1.10024,1191
2023-01-01 00:14:00,1.10002,1.10014,1.09992,1.10003,1029
2023-01-01 00:15:00,1.09996,1.10006,1.09993,1.10002,1273
2023-01-01 00:16:00,1.09984,1.09986,1.0998,1.09983,1052
2023-01-01 00:17:00,1.09988,1.09989,1.09981,1.09982,788
2023-01-01 00:18:00,1.09978,1.09988,1.09976,1.09982,1032
2023-01-01 00:19:00,1.09962,1.09968,1.09959,1.0996,714
2023-01-01 00:20:00,1.09978,1.09995,1.09978,1.09993,1645
2023-01-01 00:21:00,1.09976,1.09982,1.09974,1.09977,1155
2023-01-01 00:22:00,1.09977,1.0999,1.09974,1.09981,1005
2023-01-01 00:23:00,1.09961,1.09966,1.09951,1.09958,968
2023-01-01 00:24:00,1.09955,1.09971,1.09952,1.09962,248
2023-01-01 00:25:00,1.09956,1.09957,1.09946,1.09956,885
2023-01-01 00:26:00,1.09944,1.09949,1.09942,1.09943,821
2023-01-01 00:27:00,1.09948,1.09957,1.09942,1.09947,880
2023-01-01 00:28:00,1.09941,1.09948,1.09932,1.09934,925
2023-01-01 00:29:00,1.09938,1.09939,1.09936,1.09937,1064
2023-01-01 00:30:00,1.09931,1.09944,1.09927,1.09934,974
2023-01-01 00:31:00,1.09952,1.09954,1.09936,1.09943,1110
2023-01-01 00:32:00,1.09952,1.09965,1.09942,1.09957,1672
2023-01-01 00:33:00,1.0994,1.09941,1.09938,1.09938,914
2023-01-01 00:34:00,1.09949,1.09956,1.0994,1.0995,888
2023-01-01 00:35:00,1.09936,1.09939,1.09922,1.09923,417
2023-01-01 00:36:00,1.09938,1.0995,1.09934,1.09939,636
2023-01-01 00:37:00,1.09916,1.09926,1.09903,1.09911,1046
2023-01-01 00:38:00,1.09902,1.09907,1.09897,1.099,854
2023-01-01 00:39:00,1.09904,1.09913,1.09885,1.09895,919
2023-01-01 00:40:00,1.09912,1.09915,1.09901,1.09907,807
2023-01-01 00:41:00,1.09914,1.0992,1.09906,1.09913,267
2023-01-01 00:42:00,1.09913,1.09922,1.09909,1.09911,1319
2023-01-01 00:43:00,1.09909,1.09922,1.09904,1.09914,1064
2023-01-01 00:44:00,1.09893,1.09898,1.09883,1.09883,1035
2023-01-01 00:45:00,1.09885,1.09891,1.09879,1.09885,925
2023-01-01 00:46:00,1.0988,1.09883,1.09874,1.09879,853
2023-01-01 00:47:00,1.09892,1.09898,1.09885,1.09889,1230
2023-01-01 00:48:00,1.09895,1.09897,1.09884,1.0989,525
2023-01-01 00:49:00,1.09876,1.0989,1.09868,1.09882,644
2023-01-01 00:50:00,1.0988,1.09902,1.09879,1.09891,1151
2023-01-01 00:51:00,1.09875,1.09876,1.09863,1.09866,1410
2023-01-01 00:52:00,1.09868,1.09877,1.09861,1.09863,1079
2023-01-01 00:53:00,1.09875,1.09884,1.09866,1.09869,977
